Keyword,Score
,
Job Description #1,

integrated solution development team Excellent verbal,29.6
experience utilizing RESTful API web services,28.666666666666664
classified work requires onsite work,19.200000000000003
Top Secret level clearance,16
problem-solving skills Demonstrable ability,14.333333333333332
strong software development skills,13.766666666666666
professional environment JavaScript Frameworks,12.5
software development projects,9.766666666666666
delightful user experience,9.666666666666666
written communications skills,9.666666666666666
full-stack environment Demonstrate,9.166666666666666
strong multi-domain awareness,9
manage tasks effectively,9
cyber security research,9
SQL language Bachelor,9
front-end development Demonstrate,8.766666666666666
strong technical ability,8.666666666666666
mobile-based applications Experience,8.666666666666666
Clearance Required Eligible,8.666666666666666
ll typically focus,8.5
applied research program,8.5
develop high-quality applications,8.333333333333334
HS 8-10 Experience Required,8.333333333333332
multiple on-going projects,8.166666666666666
flexible work schedule,7.1
UX team,6
Excellent communication,6
experience working,5.666666666666666
development w,5.6
strong interest,5
JavaScript Frameworks,5
Kibana Demonstrate,4.666666666666666
apply Experience,4.666666666666666
Citizenship Required,4.666666666666666
challenging projects,4.666666666666666
ll work,4.6
multiple programs,4.5
related front-end,4.5
program requirements,4.5
develop clean,4.333333333333334
develop prototypes,4.333333333333334
related field,4
complex problems,4
great people,4
Software Engineering,4
Elk Stack,4
Work closely,4
BS 2-4 Years,4
latest versions,4
support interesting,4
role encompasses,4
growth goals,4
process improvement,4
solve cutting-edge,4
Computer Science,4
developing adaptive,4
Qualifications Education,4
maintainable code,4
back-end technologies,4
UX solutions,4
good understanding,3.666666666666667
basic understanding,3.666666666666667
web,3.5
interest areas,3.5
fulfilling 80 hours,3.5
track record,3.5
API,3.5
responsive UI,3.5
Typescript 0-2+ years,3.5
ability,2.6666666666666665
work,2.1
schedule,2
JavaScript,2
understanding,1.6666666666666667
1-2+ years,1.5
hours,1.5
UI,1.5
track,1.5
areas,1.5
reusable,1
monotonous,1
innovation,1
novelty,1
CSS,1
choose,1
things,1
Flexibility,1
learning,1
Degree,1
specialize,1
weeks,1
passionate,1
well-structured,1
assignments,1
HTML,1
syntax,1
self-sufficient,1
MS 0-2,1
Additionally,1
proficiency,1
js,1
considered,1
repetitive,1
Ability,1
ensure,1
React,1
specialty,1
staff,1
preference,1
discussions,1
learn,1
conceive,1
Cyber,1
NoSQL,1
Tangible,1
collegial,1
home,1
set,1
curiosity,1
submitted,1
part,1
manager,1
semantics,1
Generalists,1
ideally,1
Vue,1
candidates,1
domain,1
creative,1
Variety,1
inspiring,1
required,1
time,1
Angular,1
provide,1
technology,1
Subject,1
smart,1
opportunity,1
20,0
,
Job Description #2,

Android app platforms Responsive web optimizing,34.5
multiple break points Complex systems,25
follow information security restrictions Experience,24.5
core toolkit Experience operating,16.5
optimizing existing features,10
matrixed corporate environments,9
strong risk framework,9
Full-stack product designers,7.833333333333334
established design system,7.333333333333334
product features,5
Mid-level designers,4.333333333333334
design system,4.333333333333334
UI designers,4.333333333333334
design spectrum,4
staff aug,4
production design,4
brand design,4
separate UX,4
solid experience,4
cost structure,4
design strategy,4
content strategy,4
experience capable,4
Native iOS,4
development support,4
Financial services,4
preferred Focus,4
design directors,4
craft skills,3.5
seeking leads,3.333333333333333
design,2
skills,1.5
leads,1.3333333333333333
includes,1
sales,1
large,1
onboarding,1
servicing,1
Mastery,1
helpful,1
authority,1
scrum,1
making,1
operate,1
leveraging,1
Sketch,1
strategists,1
InVision,1
Helix,1
shipping,1
influence,1
transactions,1
needed,1
add,1
point,1
working,1
collaborate,1
agile,1
marketing,1
research,1
2-4 years,1
understand,1
delivery,1
,
Job Description #3,

healthy work-life balance,9
complex technical domains,9
develop site maps,9
Adobe Creative Suite,9
unsnarl taxonomy challenges,9
defining functional requirements,9
killer professionals working,9
core values empower,9
related field preferred,9
Human Computer Interaction,9
complex user flows,8.454545454545455
passionate design peers,8.25
brilliant data scientists,8
user research efforts,7.787878787878788
remote work options,7.666666666666667
information visualization design,7.5
user interface design,7.204545454545455
user experience design,6.704545454545455
user experience strategy,6.454545454545455
data scientists,5
user interface,4.954545454545455
user research,4.787878787878788
information design,4.5
user experience,4.454545454545455
user testing,4.454545454545455
information architecture,4.25
design software,4.25
sprint-by-sprint basis,4
continuing education,4
squad consists,4
solid understanding,4
constantly improving,4
produce wireframes,4
undergraduate degree,4
deep areas,4
ideal type,4
interactive prototypes,4
flexible schedules,4
key role,4
agile environment,4
collective vision,4
Information Architecture,4
content strategy,4
Work closely,4
taking risks,4
dev team,4
collaborate fluidly,4
Fine Arts,4
equivalent experience,4
team achieve,4
Communication Design,4
UI Designers,3.75
UI artifacts,3.75
deliver UX,3.5
vector-based UX,3.5
keen interest,3.5
User Experience,3.5
client engagements,3.5
inventive developers,3.5
UI tools,3.25
design,2.25
strategy,2
experience,2
UI,1.75
work,1.6666666666666667
tools,1.5
UX,1.5
Experience,1.5
interest,1.5
developers,1.5
client,1.5
collaborative,1
Certification,1
put,1
learning,1
appreciated,1
employees,1
usable,1
generalists,1
necessarily,1
2-4+ Years,1
willingness,1
RS21 project,1
integrity,1
expertise,1
excited,1
Figma,1
Ability,1
culture,1
making,1
consistent,1
expect,1
skills,1
Values,1
candidates,1
Assist,1
designers,1
learn,1
RS21 Mission,1
difference,1
Participate,1
code,1
Condens,1
Qualifications,1
unicorns,1
engaging,1
accustomed,1
Responsibilities,1
FigJam,1
aligned,1
waterfall,1
goals,1
needed,1
Play,1
stakeholder,1
exemplify,1
ensuring,1
helping,1
experts,1
effective,1
,
